epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.1412,1.06509,1.83814,1.78751,1.26705,0.87511,0.92135,0.94915,0.60463,0.83243,0.8764,0.8781,0.52434,0.90741,2.03323,1.7139,1.01807,0.00022,0.00022,0.00022
2,58.6467,0.87441,1.15914,0.96004,1.0916,0.59098,0.8764,0.82634,0.5073,0.56067,0.83146,0.74077,0.44776,1.23819,3.10226,4.65163,1.44547,0.000455446,0.000455446,0.000455446
3,81.109,0.92227,1.26956,0.80698,1.1253,0.58557,0.90494,0.79706,0.48297,0.59284,0.91617,0.8112,0.55409,1.1537,3.33528,3.9793,1.41353,0.00068614,0.00068614,0.00068614
4,103.322,0.92154,1.289,0.80198,1.13509,0.59015,0.72807,0.7162,0.44373,0.5905,0.7191,0.66071,0.43082,1.31986,4.02046,5.36488,1.60012,0.000912082,0.000912082,0.000912082
5,124.923,0.96517,1.4052,0.85051,1.16391,0.44416,0.4669,0.35345,0.14941,0.44573,0.32584,0.27125,0.08532,2.39527,10.6902,3.71168,3.3566,0.00113327,0.00113327,0.00113327
6,158.989,1.02355,1.45617,0.8588,1.15699,0.42825,0.42082,0.31637,0.16894,0.31194,0.30337,0.13808,0.05727,1.99926,11.7317,3.20373,2.36447,0.00134971,0.00134971,0.00134971
7,188.955,0.95363,1.31844,0.8012,1.1165,0.28295,0.82022,0.34133,0.17254,0.18744,0.53933,0.15669,0.06401,1.45804,11.394,6.21477,1.84457,0.0015614,0.0015614,0.0015614
8,223.702,0.99898,1.31607,0.83062,1.13561,0.3108,0.58427,0.31693,0.16639,0.28752,0.53933,0.2843,0.13387,1.76799,24.4805,3.27687,2.13824,0.00176833,0.00176833,0.00176833
9,258.983,1.02106,1.29643,0.84779,1.16369,0.4707,0.55056,0.44595,0.17162,0.30413,0.2809,0.21122,0.0758,2.36813,47.4171,2.12816,2.40877,0.0018416,0.0018416,0.0018416
10,293.4,1.00905,1.35348,0.81863,1.13884,0.00421,0.24719,0.00235,0.00069,0.00454,0.20225,0.0018,0.00057,3.89392,16.079,114.681,6.77976,0.0018218,0.0018218,0.0018218
11,333.271,0.98271,1.26386,0.77361,1.12747,0.11423,0.21348,0.06419,0.01278,0.19873,0.30337,0.11372,0.0336,3.13593,12.7445,5.53211,3.59157,0.001802,0.001802,0.001802
